ProviderName,NHG,CountryCode,LoanType,ValidSince,Period,ProductName,Rate,CoverageEnd,CoverageStart,CheckDate
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,1 ,RabobankBasisvoorwaarden,1.20,67.5,0,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,1 ,RabobankBasisvoorwaarden,1.60,90,68.5,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,1 ,RabobankBasisvoorwaarden,1.90,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,2 ,RabobankBasisvoorwaarden,1.30,67.5,0,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,2 ,RabobankBasisvoorwaarden,1.70,90,68.5,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,2 ,RabobankBasisvoorwaarden,2.00,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,3 ,RabobankBasisvoorwaarden,1.50,67.5,0,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,3 ,RabobankBasisvoorwaarden,1.90,90,68.5,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,3 ,RabobankBasisvoorwaarden,2.20,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,4 ,RabobankBasisvoorwaarden,1.50,67.5,0,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,4 ,RabobankBasisvoorwaarden,1.90,90,68.5,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,4 ,RabobankBasisvoorwaarden,2.20,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,5 ,RabobankBasisvoorwaarden,1.60,67.5,0,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,5 ,RabobankBasisvoorwaarden,2.00,90,68.5,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,5 ,RabobankBasisvoorwaarden,2.30,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,6 ,RabobankBasisvoorwaarden,1.60,67.5,0,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,6 ,RabobankBasisvoorwaarden,2.00,90,68.5,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,6 ,RabobankBasisvoorwaarden,2.30,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,7 ,RabobankBasisvoorwaarden,1.60,67.5,0,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,7 ,RabobankBasisvoorwaarden,2.00,90,68.5,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,7 ,RabobankBasisvoorwaarden,2.30,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,8 ,RabobankBasisvoorwaarden,1.70,67.5,0,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,8 ,RabobankBasisvoorwaarden,2.10,90,68.5,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,8 ,RabobankBasisvoorwaarden,2.40,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,9 ,RabobankBasisvoorwaarden,1.70,67.5,0,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,9 ,RabobankBasisvoorwaarden,2.10,90,68.5,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,9 ,RabobankBasisvoorwaarden,2.40,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,10 ,RabobankBasisvoorwaarden,1.70,67.5,0,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,10 ,RabobankBasisvoorwaarden,2.10,90,68.5,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,10 ,RabobankBasisvoorwaarden,2.40,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,11 ,RabobankBasisvoorwaarden,1.95,67.5,0,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,11 ,RabobankBasisvoorwaarden,2.35,90,68.5,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,11 ,RabobankBasisvoorwaarden,2.65,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,12 ,RabobankBasisvoorwaarden,2.05,67.5,0,2017-10-30
